id_0,id_1
1,226
1,1129
1,1446
1,77974
3,13
3,66
3,74
3,103
3,323
3,359
3,368
3,542
3,712
3,735
3,763
3,799
3,2526
3,2648
3,3249
3,3536
3,7081
3,7541
3,9142
3,13385
3,74804
3,271715
3,290503
3,330512
3,1547598
3,3841221
3,4432412
3,4649104
3,4962010
3,5569543
3,15299377
3,15304117
3,50683152
5,430
5,528
5,161909
5,245438
5,259455
5,282118
5,482758
5,7988922
6,334496
6,361476
6,10816636
7,100810
9,810
9,330512
10,143
10,1935
10,4599
10,4890
10,15002
10,1224771
10,1429841
11,76
11,817
11,849
11,2888
11,3614
11,4418
11,4419
11,5414
11,7231
11,7599
11,75491
11,174087
11,188678
11,1658572
13,38
13,66
13,143
13,359
13,397
13,763
13,1309
13,1945
13,2519
13,15427
13,158706
13,246791
13,410734
13,417645
13,1272458
13,1352674
13,4567404
13,8409650
13,9093938
13,14456487
13,49818632
14,413
14,482539
14,1333264
14,1518490
14,12487862
15,408
15,13358
15,1371731
15,3468021
15,11573699
16,8638
16,6474027
16,13641829
17,78
17,776
17,2527
17,75530
17,110587
17,314870
17,1545788
17,4338602
17,4860761
17,5000503
17,5462679
17,6853403
17,7890702
17,9172904
17,14482665
21,1452
21,281509
25,3712
25,6234
25,10620
25,1188758
26,1060
27,103
27,8937
29,1527
29,1557
29,2691
29,4975
29,6815
29,7345
29,10424
30,6822
30,4052518
34,978
34,1454
35,4740968
36,232
36,398
36,1025
36,2792
36,2851
36,13896
36,382937
38,461
38,512
38,542
38,700
38,725
38,796
38,2912
38,5099
38,100675
38,310557
38,314726
38,614223
38,1676038
38,3933641
38,4462268
38,5286414
38,6557769
39,215
39,1295
44,174351
44,91212482
45,112
45,542
45,776
45,2382
45,3873
45,7613
45,56125
45,310557
45,320004
45,367387
45,1424602
45,1429841
45,4937383
45,8058039
45,10583405
45,11289472
47,493
47,1520407
47,5595093
48,49
48,1798
48,2655
48,4975
49,753
49,1075
49,1798
49,2197
49,5090
49,7983
49,13499
49,14497
49,104154
49,259729
49,281955
49,1191615
51,69820
51,72038
51,152629
51,330512
52,163
59,252535
61,1820
63,7983
63,161909
63,4907510
65,295
65,313
65,521
65,3445
65,5002
65,5102
65,8642
65,13896
65,362326
65,1562681
65,7196368
65,9551216
65,10668885
66,763
66,2513
66,2533
66,2544
66,167095
66,196045
66,320004
66,330512
66,14800995
68,7830
68,1545788
68,1562681
70,119
70,133
70,3315
70,4479
70,7343
70,12142
70,58585
70,71813
70,72660
70,81127
70,116523
70,243761
70,345055
70,460115
70,472353
70,712271
70,1273729
70,5266156
70,5357220
70,5526627
70,6962549
70,7327640
70,7688746
70,11815065
70,12944237
70,14539467
72,4485585
73,191
73,268
73,391
73,393
73,752
73,1002
73,1312
73,2513
73,2528
73,3886
73,8839
73,9183
73,9250
73,10183
73,194746
73,290503
73,372804
73,392180
73,1545788
73,4567404
73,6853403
73,15166511
74,102
74,104
74,288
74,2659
74,4512
74,173581
74,367387
74,1338623
76,135
76,1559
76,2048
76,2077
76,4917
76,4929
76,6157
76,11914
76,15827
76,130398
76,150446
76,241608
76,248033
76,262271
76,310557
76,401120
76,490454
76,1176860
76,1658572
76,4495398
78,330512
78,4400138
78,5147523
78,59691632
81,1857
81,71576
83,798
84,351
84,912
84,5866223
84,8156852
84,75567382
85,1247
85,6455
85,275668
88,512
88,542
88,796
88,2370
88,2656
88,6550
88,14279
88,15362
88,73396
88,98239
88,116337
88,125372
88,156229
88,183674
88,282118
88,288252
88,383528
88,482758
88,1166311
88,1220981
88,1353625
88,2281211
88,4103977
88,4606399
88,4649104
88,4759264
88,4860761
88,5203250
88,5821103
88,6557769
88,8706544
88,9759672
88,9958178
88,10668885
88,11559031
88,61061602
88,73101792
89,17000
89,534771
89,5010303
91,542
91,4390053
92,1309
92,310557
92,4485585
92,4841158
93,510086
99,359
99,3109
99,5250480
102,268
102,323
102,465
102,724
102,776
102,2619
102,3813
102,75053
102,125372
102,164002
102,165930
102,304545
102,353076
102,810507
102,1590752
102,3542201
102,3561671
102,3933641
102,4308309
102,4979472
102,5259966
102,5398364
102,5942214
102,7004075
102,7371096
102,7890702
102,9551216
102,10961718
102,14482665
103,145
103,240
103,408
103,1147
103,1309
103,1935
103,6165
103,12178
103,12436
103,210977
103,288092
103,525046
103,1371731
103,1518490
103,4341930
103,4495513
103,6068162
103,7627172
103,9236850
103,11289472
104,724
104,776
104,2382
104,10620
104,12178
104,134163
104,196045
104,262271
104,504125
104,1271439
104,1384338
104,3972081
104,4432412
104,4492087
105,262
105,294
105,393
105,5843
105,13124
105,330512
105,827425
105,2144511
106,149790
106,169361
107,198
107,728
107,1760
107,5657
107,4592596
108,5164
110,1454125
110,2281211
110,3265001
110,5203250
111,4106
112,745
112,776
112,1222
112,1445
112,3839
112,7775
112,8793
112,15898
112,281011
112,1424602
112,1545788
112,4038501
112,10583405
112,12346612
112,68358002
116,546
116,794
116,3170
116,2252591
116,4043368
116,4698748
116,4937383
116,13299379
119,418
119,822
119,1009
119,1536
119,4145
119,5164
119,6421
119,8937
119,12436
119,13953
119,14630
119,15617
119,15794
119,146645
119,181878
119,197711
119,214810
119,243201
119,343290
119,482539
119,648668
119,1035806
119,1058631
119,1619572
119,4404406
119,4680004
119,4860761
119,5220843
119,5284515
119,7890062
119,8506054
119,12033224
119,12096672
119,52876842
120,536
121,110592
124,90516
128,2792
128,12039
128,280640
128,337770
133,239
133,434
133,4523
133,9662
133,100810
133,146100
133,472353
133,1406580
133,4103977
133,4104899
133,4428155
133,132712992
135,3170
138,185
138,11837
140,4352
140,4615
140,534771
140,6049784
143,262271
143,283018
144,2571
145,160
145,290
145,521
145,595
145,760
145,1309
145,8794
145,12436
145,75491
145,2281211
145,4338602
147,434
147,3712
147,4352
147,6234
147,10620
147,146100
147,404049
